매장명,주소,위도,경도
낙민점,부산 동래구 온천천로 339번길 51 1층,35.196597853658,129.090761438022
동래래미안점,부산 동래구 충렬대로 107번길 104 1층,35.2113508810855,129.073490317896
명장역점,부산 동래구 반송로 273번길 2 1층,35.2059409006853,129.101215043535
동래시장점,부산 동래구 충렬대로 239 1~2층,35.2016440909638,129.08563369197
안락SK점,부산 동래구 충렬대로 459번길 21 1층,35.1959878418531,129.109440580258
미남반도보라점,부산 동래구 아시아드대로 234 1층,35.2039470982169,129.069040555868
허심청점,부산 동래구 온천장로 81-1 1층,35.2186330863568,129.082265610144
사직롯데캐슬점,부산 동래구 아시아드대로 146번길 1 1층,35.1979289530595,129.066738517174
미남점,부산 동래구 여고로 113번길 78 1층,35.2019348398411,129.074067807465
명륜천일스카이원점,부산 동래구 명륜로 151 1층,35.2073040131714,129.08167812576
e편한세상명장점,부산 동래구 명장로 64번길 6 1층,35.2044909668355,129.10773929204
안락점,부산 동래구 충렬대로 359번길 15 1층,35.1987461306926,129.098165709501
금정초등학교점,부산 금정구 금강로 206-16 1층,35.2265108074847,129.083309598828
장전점,부산 금정구 금정로 151-1 1층,35.2382313353176,129.087679003844
부산금사점,부산 금정구 금사로 80 1층,35.2198552453364,129.111573968951
부산대점,부산 금정구 금정로 68번길 28 1층,35.2303438495831,129.087888911485
범어사점,부산 금정구 금강로 711 1층,35.2709767747416,129.088899010598
구서SK점,부산 금정구 수림로72번길 116 1층,35.2446028484754,129.086986664836
부산남산점,부산 금정구 금강로 643 1층,35.2648714135486,129.08844689345
구서롯데캐슬점,부산 금정구 금강로 503 1층,35.2526906391923,129.086494892033
장전퀸즈점,부산 금정구 부곡온천천로 190 1층,35.2423296835377,129.090547632939
두실점,부산 금정구 중앙대로 1945번길 23-29 1층,35.2565649760576,129.090015457748
서동시장점,부산 금정구 서동로 147 1층,35.2150718742119,129.102688043509
수원정자점,경기도 수원시 장안구 정자동 878-6 선일프라자 1층,37.2948042621845,126.993954222808
시흥은행점,경기 시흥시 대은로 80 하이런빌딩 102호,37.4442428181712,126.797401099736
탄현점,경기 고양시 일산서구 일현로 53 1층,37.6919508591464,126.763002742052
금릉역점,"경기도 파주시 금빛로 12 (금촌동,삼성프라자) 1층 103호",37.7511324699224,126.767221193146
고대안암역점,서울시 성북구 고려대로 89 안암역 지하 1층 (지하철 역사내),37.5864696091911,127.0291828742
신림난곡점,서울시 관악구 법원단지길 28 우석빌딩 1층,37.4741658821631,126.919248807252
마포구청점,"서울시 마포구 월드컵로 204, 111호(성산동, 이안상암) 1층",37.5653992058145,126.9021317644
춘천후평점,강원도 춘천시 춘천로 296번길 4 1층,37.8809876026982,127.745860802769
동해쇄운점,강원특별자치도 동해시 청운1길 52 1층 103호,37.4859529290389,129.108942922435
광교법조타운점,경기 수원시 영통구 광교중앙로266번길 20 (하동) 1층 106호,37.292828174544,127.068651255965
병무청역점,서울 영등포구 여의대방로 43길5 1층,37.5061364625858,126.921860896682
동탄호수공원점,경기도 화성시 동탄대로 5길 9 1050호,37.1676369141634,127.105798518213
신풍역점,서울 영등포구 신풍로 8길 3 1층,37.4996969924488,126.910576449066
망포힐스점,경기도 수원시 영통구 망포로 136 1층 109호,37.24100322776,127.048661356688
수원성균관대점,경기도 수원시 장안구 서부로 2126번길 17 1층 A동 상가 3호,37.2980374691195,126.972855322199
수원호매실점,경기도 수원시 권선구 금곡로 213 딜라이트 1차 101호,37.2748512929492,126.953643839836
동탄카림점,"경기도 화성시 동탄대로 시범길 134(청계동, 동탄역시범반도유보라아이비파크4.0) 판매시설 1143호 1층",37.1990328379764,127.113063831502
동탄삼성반도체점,경기도 화성시 삼성1로 160 1층 105호,37.2182078853635,127.077875045432
시흥센트럴푸르지오점,"경기 시흥시 수인로 3312번길 16 105동 앞 상가 A102,103",37.4401230269917,126.788655329604
