지역,매장명,주소,위도,경도
부산,부산남구청점,부산광역시 남구 대연동 1766-10 ( 못골로 24-1 ),35.1354977654947,129.085050241633
충남,아산온중로점,충남 아산시 온중로 47 1동 101호,36.7750743899758,126.996904893232
서울,가산그레이트점,서울 금천구 가산동 60-5 갑을그레이트밸리 105호,37.4794908631041,126.8875313659
전라,완주봉동점,"전라북도 완주군 봉동읍 장기리 216-6, 1층",35.938941754287,127.168334752
경기,의정부발곡역점,경기도 의정부시 회룡로 178 발곡프라자 B19호,37.7263880453119,127.053456533266
충청,천안성거점,충청남도 천안시 서북구 성거읍 성거길 107 1층,36.8749781789783,127.201809846292
경기,수원호매실능실점,경기 수원시 권선구 호매실로104번길 24-76,37.2595599162993,126.963194382093
제주,제주도남점,제주특별자치도 제주시 도남동 920-23,33.4976392286414,126.52819011447
대구,대구현풍테크노중리점,대구 달성군 현풍읍 테크노상업로 48,35.692802106198,128.455083258634
제주,빽다방 빵연구소 제주연동점,제주시 연동 256-2 1층,33.4837560260815,126.486957153798
강원,원주흥업점,"강원도 원주시 흥업면 흥업리 1830-3, 1층",37.3009425361048,127.920441441659
경기,미사센트럴자이점,경기 하남시 풍산동 504,37.5575043489407,127.188034242066
충청,천안신방성지점,"충청남도 천안시 동남구 서부대로 268, 104~105호",36.7812653432954,127.128340892876
경기,성남상대원금상점,경기 성남시 중원구 금상로96번길 2 1층 104호,37.4422579302498,127.165863891243
전북,전주인후점,전북 전주시 덕진구 인후동 1가 846-6 101호,35.8347075870887,127.164864549184
대전,대전비래점,대전 대덕구 비래동로15번길 2,36.355638787303,127.449744755322
경기,안양예술공원점,경기도 안양시 만안구 예술공원로 138,37.4183653838233,126.921426771788
경기,오산세교금암점,경기 오산시 수청로 199 1층,37.1764518687627,127.044802822197
대구,대구칠곡팔거역점,"대구 북구 팔거천동로 222, 102호",35.9436508540903,128.558640678425
경상,밀양미리벌점,경상남도 밀양시 삼문동 719-7 (미리벌 중앙로 46),35.482341701016,128.750170871451
전남,광양마동점,전남 광양시 마동 1053-5,34.9544286730951,127.689730602369
광주,광주첨단재활병원점,"광주광역시 광산구 쌍암동 666-2, 104호",35.2203228729178,126.84473188692
서울,용마산역점,서울시 중랑구 면목로 27길 4 (면목동 372-21),37.5751748659408,127.085141256176
전라,목포상동점,"전라남도 목포시 옥암로 182, 1층​",34.8146085178087,126.422215073308
강원,강릉유천점,강원 강릉시 선수촌로 79-7 102호,37.7578406543267,128.869607000653
경기,수원정자시장점,경기 수원시 장안구 수성로 261번길 6,37.2902166881193,127.001008884058
강원,강릉포남점,강원 강릉시 포남동 1186-1 1층,37.7701403886558,128.913004308739
경상,진주경상대후문점,경상남도 진주시 가좌동 868-25 (가좌길 17-1),35.1561472046074,128.105553257658
경기,안성아양점,경기도 안성시 옥산동 598(안성시 아양1로 77-10) 해천프라자 1동 103호,37.0078400025632,127.25836948456
서울,신림대학점,"서울 관악구 신림로23길 21 (신림동, 웰탑스터디독서실) 1층",37.4699798923378,126.935054650528
부산,부산광안하버뷰점,부산광역시 수영구 민락수변로 49 광안KCC스위첸하버뷰 104호,35.1536742572992,129.126146583215
부산,부산금정구청점,부산광역시 금정구 부곡동 64-34 티아이더코어 101호,35.2423722362722,129.091625741264
대전,대전노은3동점,"대전 유성구 지족동 1025-1 1층,106호",36.3874391933704,127.308790286049
경기,수원곡선하늘채점,경기 수원시 권선구 곡반정로 151 1층,37.2415006390618,127.032854397377
경북,경주대릉원점,경북 경주시 황남동192-4,35.8347077192406,129.215308171152
서울,수유시장점,서울 강북구 도봉로67길 8,37.6308500557797,127.023748027008
충남,천안신부동아점,충남 천안시 동남구 터미널9길 25,36.8231587496839,127.155452608105
경기,평택법원점,경기 평택시 평남로 1039 105호,37.0094403076294,127.096019381091
서울,석촌역점,서울 송파구 백제고분로 385 102호,37.506335048247,127.108278986383
경기,지축역점,경기 고양시 덕양구 지축1로 39 지축프라자 104호,37.648829339537,126.914603967396
전북,군산시청점,전북 군산시 조촌4길 15 (조촌동) 1층,35.9679588463857,126.735746619775
서울,태릉입구역점,"서울 노원구 동일로 986, 104호",37.6182161017816,127.07591204414
전남,순천금당점,"전남 순천시 해룡면 장선배기길 141, 1층 104호",34.9484620333408,127.530648124258
서울,서대문경희궁점,"서울 종로구 경교장길 35 (평동, 경희궁자이 3단지) 1층 3135호",37.5688537151032,126.965114852628
대전,대전갈마점,대전광역시 서구 신갈마로 110-1(갈마동),36.3438656420436,127.36878975098
서울,창동역서부점,서울 도봉구 노해로63다길 10,37.6533493087801,127.046554623903
경기,부천도당산업단지점,경기 부천시 도당동 160-8,37.5131301426132,126.782528933475
대구,대구효목점,대구 동구 효목로 35,35.8765119694045,128.639430301187
대전,대전둔산청솔점,대전 서구 둔산로 216 (1층 빽다방 ),36.3510413446166,127.397811257731
전라,전주아중점,전라북도 전주시 덕진구 아중로 175 102호,35.8271920709657,127.168579300911
서울,문정역점,서울 송파구 문정동 643-1(법원로 114),37.4858221249142,127.120631584468
경기,삼송스칸센점,경기 고양시 덕양구 삼송로 240(삼송동 294) 힐스테이트삼송역스칸센 A동 124호,37.6531850280359,126.900225395456
서울,번동초교점,서울 강북구 번동 310-4 1층,37.629196631997,127.039609905675
경기,화성병점2동점,경기도 화성시 병점2로 65,37.2080052065696,127.043371632587
전라,여수학동e편한점,전라남도 여수시 학동 1번지 일원 A동 102호,34.7581055,127.6658667
울산,울산서부점,울산광역시 동구 방어진순환도로 925,35.5236895377087,129.432673491091
서울,구로이앤씨6차점,"서울특별시 구로구 디지털로31길 41 (구로동, 이앤씨벤처드림타워6차), 1층 108호",37.4851717992188,126.892751304432
경기,광명일직점,경기도 광명시 일직동 510-7,37.4204163507232,126.883048791138
대전,대전맑은아침점,대전광역시 서구 내동 17-11 1층 111~112호,36.3314796079226,127.380429366878
서울,상계역점,서울특별시 노원구 중계동 606 1층 105호,37.659160829,127.074470330728
세종,세종반곡점,"세종특별자치시 한누리대로 1828,108호",36.4980910110141,127.311706114445
서울,건대동문회관점,서울특별시 광진구 아차산로36길 5,37.5383387532099,127.074640682527
서울,정릉뉴타운점,서울특별시 성북구 길음로9길 50 지2층8호 (길음동 1286외2필지 길음뉴타운 상가동 208호),37.6026910997043,127.020946793788
경기,용인마북점,"경기도 용인시 기흥구 마북로 159, 1층 115호",37.304095507769,127.123525255509
충청,천안불당쌍용점,충청남도 천안시 서북구 불당11로 99 1층,36.8049865369766,127.115858186901
대전,대전유성구청점,대전광역시 유성구 어은동 110 동천빌딩 1층,36.36331192517,127.356765567138
경기,구리수택점,경기도 구리시 수택동 847-7(체육관로80번길 9) 1층,37.5919077318702,127.138587517979
경기,풍산역점,경기도 고양시 일산동구 중산동 1806 103호,37.6745144029972,126.786024017756
제주,제주애월좋은마트점,제주특별자치도 제주시 애월읍 일주서로 6679 (신엄리) 1층,33.4709918280253,126.365868970005
충청,천안터미널점,"충청남도 천안시 동남구 만남로 15 (신부동, 민현빌딩)",36.8190796755588,127.153948430325
서울,신당역점,서울특별시 중구 퇴계로 423 (황학동),37.565924090501,127.018799368922
경기,안산본오2동점,경기도 안산시 상록구 각골로 68 (본오동) 1층,37.29544776328,126.872937699923
세종,세종종촌점,세종특별자치시 종촌동 658 104호,36.5045212156266,127.249646330515
전라,전주효자안행교점,전라북도 전주시 완산구 효자동1가 281-3 1층,35.8062026629301,127.118041076439
경상,빽다방 빵연구소 김해삼계한라비발디점,경상남도 김해시 삼계동 634,35.2723037016669,128.865236008249
대전,대전용두선화점,"대전광역시 중구 중앙로 23-17, 1층 상가 111호",36.3235950563625,127.41458888535
대구,대구대신자이점,대구광역시 중구 달구벌대로 1955 상가302동 1층 빽다방,35.8638665149843,128.577718740633
경상,경산삼성현공원점,경상북도 경산시 남산면 인흥리 363-15,35.7979431979344,128.797996454554
대구,대구방촌상명점,대구광역시 동구 화랑로 383,35.8773986730805,128.666132875351
서울,가산SKV1점,"서울특별시 금천구 가산디지털1로 171, skv1센터 102호",37.4808318534376,126.880662051163
인천,송도아트포레점,인천 연수구 송도동 84-2 A동 1층 111호,37.3936798904659,126.63240174222
경기,광명소하점,경기도 광명시 소하로 81,37.4476382541923,126.88402024743
경기,부천시청역점,경기 부천시 길주로 221 시티오피스 1층 102호,37.5047068010627,126.767234788475
서울,북서울꿈의숲점,서울특별시 성북구 돌곶이로 220 코오롱하늘채아파트 상가 104동 106호,37.6190182162561,127.046432738992
전라,군산대점,전라북도 군산시 황룡로 9,35.9457824935847,126.686308211154
경기,회룡역점,경기도 의정부시 호원동 51-2,37.7246299191935,127.04590296828
경기,광교에듀타운점,"경기도 수원시 영통구 이의동 1347-3, 에듀프라자 111호",37.2897445881615,127.048120738231
충청,충남계룡엄사점,충청남도 계룡시 엄사면 번영로 26,36.2885412193208,127.242569597958
서울,숭실대점,서울특별시 동작구 상도동 501(사당로 10) 지하1층,37.4953269624454,126.955435289349
세종,세종다정점,세종특별자치시 다정중앙로 53,36.4952967661739,127.248542574509
충청,청주율량9단지점,충청북도 청주시 청원구 율중로 79번길 8(율량동),36.6598633600326,127.510560218948
인천,지식정보단지역점,"인천광역시 연수구 송도동 9-19, 에몬스프라자 1층 111호",37.3789421639746,126.646125723658
﻿경,진주평거수정초점,﻿경남 진주시 진양호로 74 1층,35.1668435951409,128.04784741387
서울,쌍문세라믹점,서울특별시 도봉구 도당로 10,37.6590926475667,127.035308458179
울산,울산삼산롯데점,울산광역시 남구 삼산로 278번길 4,35.5387621868607,129.337275535475
전라,무안목포대점,전라남도 무안군 청계면 도림길 87-23,34.9093933854018,126.433502654931
경기,평택센트럴자이점,경기도 평택시 상서재로 50 상가109호,37.0185235123042,127.101483549869
대구,대구대봉점,대구광역시 중구 대봉로 222,35.8584739966413,128.60161038913
인천,인천숭의용마루점,인천광역시 미추홀구 인주대로 74 (용현동),37.4578639706492,126.645525525747
인천,부개주공점,인천광역시 부평구 부흥로 416 101호 1층,37.4973568371557,126.738292597935
경상,칠곡석적중리점,경상북도 칠곡군 석적읍 북중리3길 45,36.0789755451244,128.410877242556
경기,광명새마을시장점,경기도 광명시 광명동 342-5 1층,37.4734185879396,126.852395755299
서울,양평중흥S클래스점,"서울특별시 영등포구 선유서로24길 6 (양평동1가, 영등포 중흥 S-CLASS) 1층 106호",37.5235893875941,126.88610509721
전라,해남군청점,전라남도 해남군 해남읍 성내리 21-1,34.5717212406128,126.598845602963
경기,수원화서시장점,경기도 수원시 팔달구 동말로 53,37.2789560472332,126.999998534145
제주,제주일도동문점,제주특별자치도 제주시 일도일동 1047-1 1층,33.5120255559832,126.531489475047
충청,천안병천점,충청남도 천안시 동남구 병천면 아우내순대길 9,36.7589278674513,127.296540768861
서울,보광점,서울특별시 용산구 보광로 47 1층 (보광동),37.5281869713151,126.998860419742
전라,전주반월점,전라북도 전주시 혁신로 697 108호,35.8739790771291,127.074268388942
인천,인천만수역점,인천광역시 남동구 구월로 366 (만수동) 1층,37.4547674336374,126.731284681397
서울,중화역점,"서울특별시 중랑구 봉화산로 39, 1층 101호",37.6017746916569,127.078635147658
서울,동양미래대점,"서울특별시 구로구 고척동 76-181, 1층 101호",37.5003851012569,126.866395379884
서울,공릉역점,서울특별시 노원구 공릉동 395-8,37.6252769843355,127.073452004921
경기,이천하이닉스점,경기도 이천시 부발읍 경충대로 2100,37.2525105751105,127.48994489114
전라,전주만성지구점,전라북도 전주시 덕진구 만성동로 59,35.8413835073306,127.078063595737
서울,개봉역북부점,서울특별시 구로구 경인로40길 41(개봉동 181-6),37.4950263686092,126.859029376899
경기,시흥매화점,경기도 시흥시 매화로 46,37.415511538086,126.814547004876
경상,영천완산점,경상북도 영천시 시장로 53,35.9635983211706,128.936053017428
경기,안산역점,경기도 안산시 원곡동 798-6,37.3278354427307,126.790766850665
경기,봉담동화마을점,경기 화성시 봉담읍 동화길 81-10 상도프라자 104호,37.2171957228857,126.958606930839
충청,청주복대사거리점,충청북도 청주시 흥덕구 복대로 173,36.6319252899595,127.440581286678
경기,안양충훈부점,경기도 안양시 만안구 석수동 785-16(충훈로 89) 1층 101호,37.407540906039,126.898483381044
울산,울산타임스퀘어점,울산광역시 남구 야음동 789-14 울산타임스퀘어 121호,35.5269967229801,129.321915541598
경기,안산본오신안점,경기도 안산시 상록구 본오동 871-6 성문빌딩 1층,37.2951266840914,126.865006724024
전라,전주삼천흥건점,전라북도 전주시 삼천동 1가 300-3,35.7944122904322,127.115772238411
전라,빽다방 빵연구소 전주평화점,전라북도 전주시 완산구 평화로 210,35.7953304341798,127.136773246157
경기,의정부가능역점,경기 의정부시 평화로 633-3 (의정부동),37.7483321137877,127.044914901774
경기,동탄호수공원점,경기도 화성시 동탄순환대로 127-5,37.166083776492,127.107286821254
경기,동탄역아이비파크점,경기도 화성시 동탄광역환승로 73,37.2028863829237,127.090020319633
충청,충북보은점,충청북도 보은군 보은읍 보은로 105,36.4836040539845,127.717779856039
서울,연희삼거리점,"서울 서대문구 연희로 118, 1층 빽다방",37.5682218762212,126.932231091464
인천,인천연안부두점,인천 중구 축항대로86번길 23,37.4543583035635,126.605969732886
충청,아산배방연화점,충청남도 아산시 배방읍 용연로 91,36.7888084459228,127.091171412063
경상,진주평거점,경상남도 진주시 순환로 539,35.1720840212783,128.06067190815
충청,천안차암점,"충청남도 천안시 서북구 3공단6로 58-8, 102호",36.8409673950653,127.104030281386
대구,대구상인화성파크점,대구광역시 달서구 상인동 1596,35.8220314078115,128.545309262582
대구,대구북구서변점,대구광역시 북구 서변동 1787 (호국로 215),35.920831703387,128.598822654769
인천,인천선학역점,인천광역시 연수구 학나래로118번길 47,37.4261824646158,126.698279540647
세종,세종소담점,세종특별자치시 한누리대로 2016번지 1층,36.4850167103305,127.299629679817
경기,안양석수중앙점,경기도 안양시 만안구 안양로 483(석수동 319-1),37.4125874284918,126.909469082128
서울,중계씨앤미점,서울특별시 노원구 동일로204가길 34,37.6407495352012,127.068172151465
충청,천안불당호반점,"충청남도 천안시 불당 34길 3-17, 1층",36.8066014366345,127.105273826082
서울,돈암점,서울특별시 성북구 동선동4가 98-2,37.5934503827618,127.017450804223
인천,인천서운산업단지점,"인천광역시 계양구 서운산단로 3길 4, sb타워 107호",37.5336558152154,126.755693478306
경기,하남미사역점,"경기도 하남시 미사강변동로 85(망월동1106), 힐스테이트 에코 미사 111호",37.5625331038895,127.191880985177
대전,대전용운에코포레점,대전광역시 동구 용운동 297 1층,36.3286583,127.4597787
경기,동탄영천K밸리점,경기 화성시 동탄첨단산업1로 14 동탄케이밸리 1층 112호,37.2102235675979,127.091406813982
충청,충북혁신도시진천점,충청북도 진천군 덕산읍 시가로 14,36.9024364645939,127.533623368231
충청,청주테크노폴리스점,"충청북도 청주시 흥덕구 송화로184번길 4, 102호",36.6673240483174,127.452923086846
서울,강남역CGV점,서울특별시 강남구 테헤란로1길 48,37.5014643340657,127.027076332559
제주,제주봉개DT점,제주특별자치도 제주시 봉개동 598,33.4840459616765,126.604276861963
