철도운영기관명,선명,역명,도로명주소,위도,경도
코레일,경춘,김유정,강원도 춘천시 신동면 김유정로 1435,37.8196326078799,127.716616948432
코레일,경춘,남춘천(강원대), 춘천시 영서로 2260,37.864079786045,127.723784389303
코레일,경춘,대성리,경기도 가평군 청평면 경춘로88,37.6840857391866,127.379235925376
코레일,경춘,마석,경기도 남양주시 화도읍 마석중앙로 107,37.6523558892506,127.311850178148
코레일,경춘,망우,서울특별시 중랑구 망우로 55길 11-10,37.5992876153903,127.092756577852
코레일,경춘,백양리(엘리시안강촌),강원도 춘천시 남산면 북한강변길 690,37.8306907678022,127.58968222334
코레일,경춘,별내(삼육대학교),경기도 남양주시 경춘북로 375(별내동 182-5),37.6423443533034,127.127425218907
코레일,경춘,사릉,경기도 남양주시 진건우회로63 사릉역,37.6515252056783,127.17693293409
코레일,경춘,상봉,서울특별시 중랑구 망우로 297,37.5967093285386,127.085741817289
코레일,경춘,상천(호명호수),경기도 가평군 청평면 상천역로29,37.7701212332923,127.454481962908
코레일,경춘,신내,서울특별시 중랑구 신내역로 20,37.6127905258724,127.103222049319
코레일,경춘,중랑,서울특별시 중랑구 중랑역로 9,37.5948240960274,127.075728956656
코레일,경춘,천마산,경기도 남양주시 화도읍 묵현로 25번길 37(묵현리),37.6590203182549,127.285751294113
코레일,경춘,청량리,서울특별시 동대문구 왕산로 214,37.584197400389,127.05114503929
코레일,경춘,청평,경기도 가평군 청평면 청평리 청평역로 97-33,37.7355360346828,127.426649292956
코레일,경춘,춘천(한림대),강원도 춘천시 공지로 591,37.8846833328824,127.716986362084
코레일,경춘,퇴계원,경기도 남양주시 퇴계원면 경춘북로 545,37.6482373139625,127.144404953155
코레일,경춘,평내호평,경기도 남양주시 경춘로 1375(평내동),37.6532330134255,127.244434272129
코레일,경춘,회기,서울특별시 동대문구 회기로 196,37.5897534990469,127.058075963059
코레일,경의중앙,가좌,서울시 서대문구 수색로 27,37.5688870324193,126.915149791265
코레일,경의중앙,강매,경기도 고양시 덕양구 소원로202 (행신동 강매역사),37.6124902653909,126.845354850334
코레일,경의중앙,곡산,경기도 고양시 일산동구 경의로 160,37.6455215922844,126.801703048195
코레일,경의중앙,공덕,서울특별시 마포구 마포대로 92,37.5429309787932,126.951246054763
코레일,경의중앙,구리,경기도 구리시 건원대로 34번길 32-29,37.603333764096,127.143610890921
코레일,경의중앙,국수,경기도 양평군 양서면 국수역길 45,37.5159971877418,127.399469211218
코레일,경의중앙,금릉,경기도 파주시 금릉역로 85,37.7522266074194,126.765044092685
코레일,경의중앙,금촌,경기도 파주시 새꽃로 193번지,37.765555839621,126.77393492786
코레일,경의중앙,능곡,경기도 고양시 덕양구 토당로 35,37.6189344509008,126.820864666736
코레일,경의중앙,대곡,경기도 교양시 대주로 107번길 71-82,,
코레일,경의중앙,덕소,경기도 남양주시 와부읍 덕소로 56,37.5868975781597,127.208819520604
코레일,경의중앙,도농,경기도 남양주시 경춘로 433,37.6088256177708,127.161152955692
코레일,경의중앙,도심,경기도 남양주시 와부음 덕소로 237,37.5796201916986,127.22261666828
코레일,경의중앙,디지털미디어시티,서울특별시 은평구 수색로 193,37.577876499679,126.900250572829
코레일,경의중앙,망우,서울특별시 중랑구 망우로 55길 11-10,37.5992876153903,127.092756577852
코레일,경의중앙,문산,경기도 파주시 문산읍 문산역로 94,37.854588695275,126.787595361922
코레일,경의중앙,백마,고양시 일산동구 경의로 318,37.6583237579557,126.794456622803
코레일,경의중앙,상봉,서울시 중랑구 망우로 297,37.5967093285386,127.085741817289
코레일,경의중앙,서강대,서울특별시 마포구 서강로 118(지하),37.5527051004675,126.934808313154
코레일,경의중앙,서빙고,서울특별시 용산구 서빙고로 238,37.5199555398566,126.990048630943
코레일,경의중앙,서울역,서울시 중구 통일로 1,37.5560408483984,126.971594506836
코레일,경의중앙,수색,서울특별시 은평구 수색로 261-1,37.5808147253405,126.895659201671
코레일,경의중앙,신원,경기도 양평군 양서면 신원역길7,37.5255268216026,127.373060409176
코레일,경의중앙,신촌,서울특별시 서대문구 신촌역로 30,37.5598241279561,126.942386979371
코레일,경의중앙,아신(아세아연합신학대),경기도 양평군 옥천면 아신역1길 23,37.5136938387664,127.443105656936
코레일,경의중앙,야당,경기도 파주시 소리천로 100,37.7129737891698,126.761207849823
코레일,경의중앙,양수,경기도 양평군 양서면 목왕로 55-10,37.5457522473669,127.328842901585
코레일,경의중앙,양원(서울시북부병원),서울시 중랑구 송림길 147,37.606554361502,127.107921489043
코레일,경의중앙,양정,경기도 남양주시 경강로 237,37.6040110360008,127.194607323013
코레일,경의중앙,양평,경기도 양평군 양평읍 역전길 30,37.4930040259303,127.491768788861
코레일,경의중앙,오빈,경기도 양평군 양평읍 덕바위길 58,37.5059244203106,127.473532751774
