노선명,역명,총 승차승객수,총 하차승객수
경의선,곡산,473.2258064516129,493.0
경의선,공덕,4017.451612903226,3101.483870967742
경의선,금릉,4431.645161290323,4282.709677419355
경의선,금촌,5844.870967741936,5677.290322580645
경의선,김포공항,0.0967741935483871,0.0
경의선,능곡,3906.1612903225805,3755.1612903225805
경의선,디지털미디어시티,2388.1290322580644,2267.7741935483873
경의선,문산,5149.064516129032,4999.4838709677415
경의선,백마,6550.290322580645,6405.258064516129
경의선,서강대,1967.5806451612902,1945.8064516129032
경의선,서울역,2854.0967741935483,3677.548387096774
경의선,수색,2929.2580645161293,2979.8387096774195
경의선,신촌,865.8064516129032,1068.0
경의선,야당,7081.064516129032,7277.0
경의선,운정,6756.645161290323,6309.8387096774195
경의선,운천,5.419354838709677,4.290322580645161
경의선,월롱,1670.8709677419354,1453.032258064516
경의선,일산,9095.774193548386,8914.677419354839
경의선,임진강,13.806451612903226,11.161290322580646
경의선,탄현,6868.354838709677,6621.354838709677
경의선,파주,957.258064516129,791.3548387096774
경의선,풍산,5806.612903225807,5538.387096774193
경의선,한국항공대,1561.3225806451612,1429.8709677419354
경의선,행신,6802.5161290322585,6882.4838709677415
경의선,홍대입구,2181.9032258064517,2626.064516129032
경의선,효창공원앞,2890.6774193548385,3267.1612903225805
경인선,간석,5186.129032258064,4907.741935483871
경인선,개봉,20916.645161290322,20720.83870967742
경인선,구일,6512.225806451613,6689.645161290323
경인선,도원,2698.2580645161293,2740.8387096774195
경인선,도화,3502.8064516129034,3269.516129032258
경인선,동암,13873.838709677419,14005.774193548386
경인선,동인천,12095.064516129032,11377.322580645161
경인선,백운,6208.870967741936,6001.451612903225
경인선,부개,7555.129032258064,7109.419354838709
경인선,부천,29197.516129032258,29314.870967741936
경인선,부평,27791.064516129034,29122.709677419356
경인선,소사,7286.935483870968,6948.806451612903
경인선,송내,22845.354838709678,22429.225806451614
경인선,역곡,22701.25806451613,22772.612903225807
경인선,오류동,10562.90322580645,9954.225806451614
경인선,온수(성공회대입구),5339.387096774193,5084.354838709677
경인선,인천,3092.935483870968,2547.9032258064517
경인선,제물포,9109.967741935483,8746.774193548386
경인선,주안,16246.41935483871,14449.516129032258
경인선,중동,8199.41935483871,7688.967741935484
경춘선,가평,1669.4516129032259,1655.6129032258063
경춘선,갈매,2456.1612903225805,2217.3548387096776
경춘선,강촌,319.3225806451613,318.64516129032256
경춘선,굴봉산,87.3225806451613,118.09677419354838
경춘선,금곡,1419.6451612903227,1348.9354838709678
경춘선,김유정,338.4516129032258,328.51612903225805
경춘선,남춘천,2583.6451612903224,2635.4193548387098
경춘선,대성리,505.5806451612903,501.8709677419355
경춘선,마석,3552.2258064516127,3420.2258064516127
경춘선,백양리,352.2903225806452,300.2903225806452
경춘선,별내,2201.935483870968,1986.3870967741937
경춘선,사릉,1797.1935483870968,1755.7096774193549
경춘선,상천,202.67741935483872,182.32258064516128
경춘선,신내,2585.9032258064517,2447.2580645161293
경춘선,천마산,1399.4193548387098,1338.741935483871
경춘선,청평,1536.1935483870968,1475.5806451612902
경춘선,춘천,1267.741935483871,1085.1612903225807
경춘선,퇴계원,3034.8709677419356,2809.483870967742
경춘선,평내호평,5640.064516129032,5492.806451612903
공항철도 1호선,검암,5622.774193548387,5468.8387096774195
공항철도 1호선,계양,8351.741935483871,8390.516129032258
공항철도 1호선,공덕,2974.5806451612902,4028.4193548387098
공항철도 1호선,공항화물청사,1816.225806451613,2142.4193548387098
공항철도 1호선,김포공항,9758.290322580646,5097.032258064516
공항철도 1호선,디지털미디어시티,13338.935483870968,12475.870967741936
공항철도 1호선,마곡나루(서울식물원),13466.612903225807,12878.548387096775
공항철도 1호선,서울역,13079.322580645161,11877.709677419354
공항철도 1호선,영종,4234.8387096774195,4251.5161290322585
공항철도 1호선,운서,9463.322580645161,10107.032258064517
공항철도 1호선,인천공항1터미널,13776.451612903225,13544.064516129032
공항철도 1호선,인천공항2터미널,10118.258064516129,8402.225806451614
공항철도 1호선,청라국제도시,7059.225806451613,6780.8387096774195
공항철도 1호선,홍대입구,16019.806451612903,15059.870967741936
과천선,경마공원,5210.870967741936,5199.064516129032
과천선,과천,4825.354838709677,4499.1612903225805
과천선,대공원,2275.6451612903224,2346.451612903226
과천선,범계,26765.774193548386,26763.09677419355
과천선,선바위,6743.1612903225805,5888.354838709677
과천선,인덕원,23929.354838709678,24406.09677419355
과천선,정부과천청사,12178.290322580646,12775.90322580645
과천선,평촌,16244.967741935483,15843.161290322581
분당선,가천대,7159.225806451613,7256.1612903225805
분당선,강남구청,8865.161290322581,10229.709677419354
분당선,개포동,3944.6774193548385,4072.935483870968
분당선,구룡,3111.2580645161293,3087.451612903226
분당선,구성,6803.419354838709,6949.677419354839
분당선,기흥,9206.451612903225,8499.483870967742
분당선,대모산입구,5316.193548387097,5118.935483870968
분당선,도곡,6826.419354838709,6889.193548387097
분당선,망포,13663.483870967742,13214.709677419354
분당선,매교,4584.322580645161,4590.8387096774195
분당선,매탄권선,4805.290322580645,4716.548387096775
분당선,모란,18758.870967741936,19398.58064516129
분당선,미금,14213.258064516129,14622.741935483871
분당선,보정,2243.2258064516127,1994.2903225806451
분당선,복정,2.7096774193548385,0.0
분당선,상갈,4597.0,4405.967741935484
분당선,서울숲,10401.774193548386,10669.645161290322
분당선,서현,22671.548387096773,23041.032258064515
분당선,선릉,11730.290322580646,17579.870967741936
분당선,선정릉,6782.096774193548,6893.903225806452
분당선,수내,12451.741935483871,12386.225806451614
분당선,수서,16556.09677419355,17465.1935483871
분당선,수원,7508.064516129032,7213.032258064516
분당선,수원시청,13090.483870967742,14038.161290322581
