매장명,주소,위도,경도
분당미금점,"경기도 성남시 분당구 미금일로90번길 24, B1F ~ 1F 구미동 35-3",37.3481758342373,127.110077084275
부산일광신도시점,부산광역시 기장군 일광읍 해빛6로 43-20 .,35.2645983877974,129.225683945199
메리츠봉래타워점,서울시 중구 칠패로 28 메리츠강북타워 1층,37.5592510458885,126.97211628887
고양시청DI점,경기도 고양시 덕양구 호국로 730 2F,37.6706367237616,126.850485907413
(춘)치악휴게소점,강원도 원주시 신림면 다리실2길 32 .,37.2568539282276,128.048728935539
간석오거리점,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,37.4654858443824,126.707494596419
대구범어천로점,"대구광역시 수성구 범어천로 200 (범어월드메르디앙웨스턴카운티) 102호, 201호",35.8637059117085,128.620612076888
고덕비즈밸리점,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,37.5662716017863,127.15962203189
창원팔용점,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) .,35.2543124472101,128.605601750469
파르나스몰점,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",37.5091916919873,127.06080691987
석계역점,서울시 노원구 화랑로 325 1층,37.6149530035255,127.064043360012
동해묵호점,강원특별자치도 동해시 해안로 368 1~3층,37.5349927108311,129.114808031578
충남도청점,충청남도 홍성군 홍북읍 청사로174번길 25 (성원타워) 신경리 553,36.6604327656871,126.680929119485
세종국책연구단지점,"세종특별자치시 시청대로 370 (반곡동, 나라키움세종국책연구단지) .",36.495796984508,127.304465262475
동아대 인문대점,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) S01 인문대 카페",35.1188093910081,128.96808496718
경상대 느티마루점,"경상남도 진주시 진주대로 501 (가좌동, 경상국립대학교가좌캠퍼스) .",35.1567141271262,128.098001405271
경북대 크누라운지점,"대구광역시 북구 대학로 80 (산격동, 경북대학교) .",35.8890974884948,128.614322336303
국민대 성곡도서관점,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",37.6102919873059,126.998494142731
atti-C 2023점,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교) .",35.1739175430866,126.911235470135
경희대 경영대점,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,37.5939491407769,127.054890960564
광주상무점,"광주광역시 서구 상무연하로 16 (치평동, 스마일빌딩) 1층 109호",35.1495828883851,126.85058081498
청주내수DI점,충청북도 청주시 청원구 내수읍 충청대로 410-19 1F-2F 구성리 251-53,36.6869395716947,127.512504267469
명동역점,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩) .",37.5612833166249,126.986361886176
인천굴포천역점,"인천광역시 부평구 충선로209번길 49 (삼산동, 삼산노블시티프라자) 삼산동 463-2, 103,104,105호",37.5079902459765,126.733554195741
대구팔달교DT점,대구광역시 서구 팔달로 34 1~2층,35.8913626441348,128.553796271327
인천공항교통센터점,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 지하1층(실번호 2-32-07)",37.458350712273,126.427699293474
한국선원센터점,"부산광역시 중구 충장대로9번길 66 (중앙동4가, 한국선원센터) (중앙동4가 74-7)1층",35.1109146074151,129.039448639821
제주애월천덕로점,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1층 납읍리 2513-1,33.4328409452099,126.324669602016
화성만세DT점,경기도 화성시 향남읍 서해로 191 1층,37.0824712805316,126.912864304014
대구장기점,대구광역시 달서구 장기로 268 1~2층,35.8438454316091,128.530918677094
부산연산점,부산광역시 연제구 반송로 89 (연산동) 1층,35.191538058945,129.088297824307
평촌점,경기도 안양시 동안구 관평로170번길 43 (훼미리타운 125호) 1층,37.3933193690503,126.963172221695
남동케이원점,"인천광역시 남동구 비류대로 622 (남촌동) 남동산단케이원 1층 105,106,108호 (남촌동)",37.4222410745097,126.703589231626
오송역사점,충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 2층 맞이방) 봉산리 370-31,36.620474826115,127.327143465414
구미CGV점,"경상북도 구미시 구미중앙로 44 (멀티복합상가) 원평동68-1, 1층",36.1301000949918,128.327630524217
울산정자해변점,울산광역시 북구 동해안로 1544 (정자동) A동 1층~2층,35.6228720816118,129.444190029812
부산서면일번가점,부산광역시 부산진구 서면로68번길 52 (부전동) 1층,35.154662847368,129.058242935559
강릉안목해변점,"강원특별자치도 강릉시 창해로14번길 34-1 (견소동) 견소동283-6,견소동132",37.7716433825738,128.948299914646
경주용강DT점,"경상북도 경주시 산업로 4510 (용강동, 용강주유소) .",35.8815926630775,129.230528773781
군산수송점,"전라북도 군산시 수송북로 22. 수송동 831-1,1층",35.966725263712,126.716527071583
광주운암점,광주광역시 북구 북문대로 184 (운암동) .,35.1848562930261,126.871005290896
이천축산농협점,경기도 이천시 구만리로 107 (진리동) 진리동 371-2,37.2693646932398,127.447785013957
구리돌다리점,경기도 구리시 경춘로227번길 14 (인창동) 1층,37.6013088577079,127.140106100318
소월아트홀점,서울특별시 성동구 왕십리로 275-1 (행당동 133-2) .,37.5589650309639,127.036892174319
송파거여역점,"서울특별시 송파구 오금로 513 (위례빌딩,1층)  거여동 37",37.4932241638816,127.145878722601
경주주상절리점,경상북도 경주시 양남면 동해안로 486 .,35.6860171734843,129.473577893753
(하)홍성휴게소점,충청남도 홍성군 은하면 금국리 275-2 .,36.5539279333687,126.579678889933
(상)홍성휴게소점,충청남도 홍성군 은하면 서해안고속도로 220 .,36.5535929369988,126.582102684948
울산KTX점,울산광역시 울주군 삼남읍 도호1길 38 1층,35.547076374733,129.139603927419
