매장명,주소,구,위도,경도
남구로역점,서울 구로구 디지털로27길 127 (가리봉동) 1층,구로구,37.4847108131575,126.887109265789
구로NC점,서울특별시 구로구 구로동로 240,구로구,37.5000087655668,126.88269870264
구로미성점,서울특별시 구로구 구로중앙로 228 1층 106~108호,구로구,37.506167775395,126.876605252712
구로코레일점,서울특별시 구로구 구로중앙로 174,구로구,37.5024345090279,126.881491595821
성공회대점,서울 구로구 연동로 312 2층 201호,구로구,37.4877304207618,126.824364209502
고척스카이돔점,서울 구로구 경인로 397 별관동 지상1층 101호,구로구,37.4976995650402,126.863870881484
고척사거리점,"서울 구로구 고척로 228-6 1층 (고척동, 종만빌딩)",구로구,37.5057871324878,126.85824878572
신도림메르디앙점,서울특별시 구로구 신도림로 65 (신도림동) 신도림월드메르디앙오피스텔 1층 101호,구로구,37.509567497413,126.882036112811
개봉역점,서울 구로구 남부순환로97길 11 (개봉동) 2층,구로구,37.4942567601283,126.858377329092
구로역광장점,"서울 구로구 경인로 572 (구로동, 스타팰리스) 109호,110호",구로구,37.5033062723055,126.881083869229
구로구청점,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)",구로구,37.4966251468796,126.890315032666
구로하버라인점,"서울 구로구 항동로3길 6 (항동, 가온 프라자) 1층 102,103호",구로구,37.4808405838883,126.824294637379
구일역점,서울 구로구 구일로 110 1층,구로구,37.4950748401596,126.87200783297
독산동점,서울 금천구 독산로 218 창영빌딩 1층,금천구,37.4663579296014,126.902005888784
시흥동점,서울특별시 금천구 시흥동  890-10 전첨빌딩   1층,금천구,37.4522900589632,126.901885345556
가산월드점,서울 금천구 가산동  426-5 월드메르디앙벤처 2차 101호,금천구,37.478757192413,126.878716916891
시흥중앙점,서울 금천구 시흥동  1011 관악우방아파트  상가 105호,금천구,37.4493778208533,126.913439789898
은행나무사거리점,서울특별시 금천구 금하로 690 (시흥동) 1층,금천구,37.45180077956,126.906631793465
가산두산위브점,서울특별시 금천구 가산로 111 103호,금천구,37.4756196441839,126.892926734418
