브랜드명,지역,매장명,주소,위도,경도
메가커피,경기,평택동삭점,"경기도 평택시 상서재로 50 , 416동 121호(동삭동, 평택센트럴자이4단지)",37.0185235123042,127.101483549869
빽다방,경기,평택센트럴자이점,경기도 평택시 상서재로 50 상가109호,37.0185235123042,127.101483549869
메가커피,경기,평택지제점,"경기도 평택시 지제동삭1로 41 , (지제동, 지제역더샵센트럴시티)",37.0209415370776,127.072796037236
컴포즈커피,경기,평택지제점,경기도 평택시 지제동삭1로 41 근생 130동 18호,37.0209415370776,127.072796037236
컴포즈커피,경기,고덕삼성점,경기도 평택시 고덕면 고덕여염12길 68 (여염리),37.041816683577,127.052945212336
더벤티,경기,평택고덕점,경기도 평택시 고덕면 고덕여염12길 130 (여염리),37.041816683577,127.052945212336
메머드커피,경기,평택고덕점,"경기도 평택시 고덕면 고덕여염12길 76, 104호",37.041816683577,127.052945212336
투썸플레이스,경기,평택브리티시고덕점,"경기도 평택시 고덕국제대로 77 (고덕동, 힐스테이트고덕센트럴) 1121 1122 1123 1124호",37.0443559204264,127.041883008056
컴포즈커피,경기,평택브리티시고덕점,경기도 평택시 고덕국제대로 77 1314호,37.0443559204264,127.041883008056
이디야,경기,용인한숲시티점,경기도 용인시 처인구 남사면 한숲로 123 3단지 근린생활시설 동 지하1층 112호,37.1157126870885,127.150478244526
컴포즈커피,경기,용인한숲시티점,경기도 용인시 처인구 남사읍 한숲로 83 5BL 122호,37.1157126870885,127.150478244526
메가커피,경기,오산롯데캐슬스카이파크점,"경기도 오산시 원당로 35 (원동, 오산롯데캐슬스카이파크)",37.1410895478176,127.093383286482
빽다방,경기,오산원동롯데캐슬점,"경기도 오산시 원당로 35, 오산롯데캐슬스카이파 상가2동 102호",37.1410895478176,127.093383286482
컴포즈커피,경기,오산원동롯데캐슬점,"경기도 오산시 원당로 35 (원동, 오산롯데캐슬스카이파크)",37.1410895478176,127.093383286482
컴포즈커피,충북,제천하소점,충청북도 제천시 하소로 55 1층 101호,37.1410958726723,128.198744790131
컴포즈커피,충북,제천하소점,충청북도 제천시 하소로 55 1층 101호,37.1410958726723,128.198744790131
투썸플레이스,경기,용인한숲시티점,"경기도 용인시 처인구 남사면 한숲로 84 (완장리,e편한세상용인한숲시티) 1층 투썸플레이스 용인한숲",37.1561090694356,127.173656345397
공차,경기,용인한숲시티점,경기도 용인시 처인구 남사읍 한숲로 84 근린생활시설동 101-102호,37.1561090694356,127.173656345397
던킨도너츠,경기,용인한숲시티,"경기도 용인시 처인구 남사면 한숲로 84 (완장리, e편한세상 용인 한숲시티)",37.1561090694356,127.173656345397
빽다방,경기,동탄서연점,"경기도 화성시 동탄대로4길 47, 1층 106호",37.1617997319202,127.111259926852
컴포즈커피,경기,동탄서연점,경기도 화성시 동탄대로4길 47 (장지동),37.1617997319202,127.111259926852
메가커피,경기,동탄라크몽점,경기도 화성시 동탄대로5길 21 (송동),37.1669493066166,127.105305422682
컴포즈커피,경기,동탄라크몽점,경기도 화성시 동탄대로5길 21 라크몽E123호,37.1669493066166,127.105305422682
메머드커피,경기,동탄호수공원점,"경기도 화성시 동탄대로5길 21, 1층 E164호(송동, 라크몽)",37.1669493066166,127.105305422682
빽다방,경기,동탄카림3차점,"경기도 화성시 동탄순환대로12길 85, 제3653동 제지1층 제비108호,109호 (산척동, 그린힐 반도유보라 아이비파크 10)",37.1670502792119,127.128205781902
컴포즈커피,경기,동탄카림3차점,경기도 화성시 동탄순환대로12길 85 3655동 지1층 B130호,37.1670502792119,127.128205781902
메가커피,경기,동탄레이크꼬모점,"경기도 화성시 동탄대로 181, 1층 155호 ,156호(송동 , 동탄린스트라우스더레이크)",37.1720680647347,127.104140595235
컴포즈커피,경기,동탄호수공원점,경기도 화성시 동탄대로 181 B-B3층 CB323호,37.1720680647347,127.104140595235
공차,경기,동탄레이크꼬모점,"경기도 화성시 동탄대로 181, 1층",37.1720680647347,127.104140595235
디저트39,경기,동탄 호수공원점,"경기도 화성시 동탄대로 181 (송동, 동탄린스트라우스더레이크) 레이크꼬모 A동 111호",37.1720680647347,127.104140595235
메가커피,경기,동탄목동점,"경기도 화성시 동탄순환대로18길 16 , 112호(목동 ,동탄센터프라자)",37.1831222826002,127.124341516733
빽다방,경기,동탄목동점,경기도 화성시 동탄순환대로18길 16,37.1831222826002,127.124341516733
메가커피,경기,세마역점,"경기도 오산시 세마역로 95 (세교동), 106, 107호",37.1871270719526,127.041963410184
빽다방,경기,오산세마역점,경기도 오산시 세마역로 95 (세교동),37.1871270719526,127.041963410184
공차,경기,동탄역점,"경기도 화성시 동탄대로 489, 1층 110호",37.1974062084016,127.098270640431
던킨도너츠,경기,동탄역,"경기도 화성시 동탄대로 489 (오산동, 동탄역우성타워)",37.1974062084016,127.098270640431
