매점명,주소,위도,경도
수원송죽점,"경기 수원시 장안구 송원로 39 (송죽동, 월드타워) 113호",37.2991817322024,127.006761092336
광주산정점,광주 광산구 월곡산정로 7-1 (산정동) 1층,35.1668089521476,126.803105915114
목포대성점,전남 목포시 산정동 1787-32 1층,34.8020103345546,126.381038648918
전북도청점,전북특별자치도 전주시 완산구 효자동2가 1155-10 101호,35.8148869847022,127.108735982189
하남시청역점,"경기 하남시 하남대로 830-1 (덕풍동, 더샵하남에디피스) 103호",37.5426486612795,127.206867251578
대구달서구청점,대구 달서구 월성동 275-2 건도빌딩 105호,35.8315576722054,128.532413867689
강릉동인병원점,강원특별자치도 강릉시 강릉대로419번길 23 (포남동) 1층,37.7728578750022,128.908193341758
포항철길숲점,경북 포항시 북구 득량동 288-7 1층,36.0235299813591,129.35031495641
정읍북면점,전북특별자치도 정읍시 북면 한교리 48-6 1층 더벤티 정읍북면점,35.6147027110755,126.89334863108
대전가오점,대전 동구 동구청로 101 (가오동) 1층,36.3070582092672,127.456169939554
구미인동하늘채점,"경북 구미시 여헌로 40-13 (인의동, 구미인동하늘채디어반) 상가 104호",36.1049403363233,128.425756157682
경주인왕점,경북 경주시 인왕동 751-1 1층,35.837223841935,129.219825312423
강서가로공원점,"서울 강서구 가로공원로 178-5 (화곡동, 케이씨타운) 케이씨타운 101호",37.5366685596041,126.835674862103
수원매교힐스테이트점,경기 수원시 팔달구 효원로219번길 55 (인계동) 101~102호,37.2645322964829,127.026430186068
순천법원점,전남 순천시 왕지로 43 (왕지동) 101호,34.9700001636516,127.526793237214
양산북정대로점,"경남 양산시 양산대로 986 (북정동, 상훈빌딩) 1층",35.3580874007555,129.040210956874
경산임당점,"경북 경산시 남매공원로1길 27 (계양동, 블루핀 임당 제니스 오피스텔) 101호",35.8337156486832,128.744087338115
종로르메이에르점,"서울 종로구 종로 19 (종로1가, 르메이에르종로타운1) 107-1호",37.5708444878121,126.979923668151
옥정에듀포레점,"경기 양주시 옥정서로5길 55 (옥정동, 양주옥정신도시 디에트르 에듀포레) B209호",37.8346207128728,127.083298810711
신림역점,서울 관악구 신림동 1640-10 1~3층,37.4838516726727,126.929430424994
대구복현푸르지오점,대구 북구 복현동 694 복현푸르지오 401동 114호,35.8913649528415,128.62785042488
덕소강변스타힐스점,"경기 남양주시 와부읍 덕소로 213 (도곡리, 덕소강변서희스타힐스)  상가 3동 303호 더벤티 덕소강변스타힐스점",37.5799304136988,127.220112703304
롯데마트성정점,"충남 천안시 서북구 성정두정로 1 (성정동, 롯데마트 성정점) 3층",36.826289449917,127.140096973863
익산영등제일점,"전북특별자치도 익산시 고봉로30길 17 (영등동, 제일아파트상가) 105호",35.9562429631725,126.972167571422
아차산점,서울 광진구 천호대로129길 16 (구의동) 1층 (구의동),37.5526189044777,127.090674227245
해운대중동역점,"부산 해운대구 좌동순환로 505 (중동, 센트럴메디타워) 1층 103호 더벤티 해운대중동역점",35.1656679331562,129.168224196446
제천의림지점,충북 제천시 의림대로 580 (모산동) 1층 더벤티 제천의림지점,37.1779838352338,128.210262160403
