매점명,주소,위도,경도
스타필드 안성점,안성시 공도읍 서동대로 3930-39 스타필드안성점 2층 2300호,36.9946334108693,127.147249620616
평택 소사 DT점,경기 평택시 소사5길 114,36.9918350996908,127.126795964362
천안 성정 DT점,충청남도 천안시 서북구 동서대로 103,36.826571507708,127.134706823865
천안 구성 DT점,충청남도 천안시 동남구 천안대로 552,36.7975705537147,127.164821237765
삼성전자 온양캠퍼스점,충남 아산시 배방읍 배방로 158 삼성전자 온양캠퍼스 정문동 2층,36.769114654425,127.061891068435
현대백화점 충청점,충청북도 청주시 흥덕구 직지대로 308 현대백화점 충청점 지하1층,36.6448651780226,127.426560206577
청주 방서 DT점,충청북도 청주시 상당구 방서동 55-1,36.6031527581211,127.503209728354
현대아울렛 대전점,대전 유성구 테크노중앙로 123 현대아울렛 대전점 1층,36.4234369155218,127.398516767788
대전엑스포 스카이점(with 피자 일뽀르노),대전광역시 유성구 엑스포로 1 39F,36.3751817693989,127.381765372066
갤러리아 타임월드점,대전광역시 서구 대덕대로 211 갤러리아 타임월드 11층,36.3519543043064,127.378167047167
롯데백화점 대전점,대전광역시 서구 계룡로 598롯데백화점 대전점 1층,36.3406861255513,127.389548388967
구미 봉곡 DT점,"경상북도 구미시 봉곡동 48-2, 48-9, 48-11, 48-12",36.1390292119165,128.312852372574
전주 금암DT점,전북 전주시 덕진구 기린대로 411,35.838269035577,127.130840215192
대구 감삼 DT점,대구광역시 달서구 감삼동65-2,35.8527507699784,128.542995406239
롯데백화점 대구점,대구광역시 북구 칠성동 2가 302-155 롯데백화점 대구점 지하 2층,35.8760569936913,128.595565095315
더현대 대구점,대구 중구 달구벌대로 2077 더현대 대구점 지하1층,35.8666296004242,128.590625718585
대구 신세계백화점 2호점,대구시 동구 효신로 88 대구 신세계백화점 별관 6층,35.8796769928833,128.633189734483
대구 신세계백화점 1호점,대구시 동구 동부로 149 대구 신세계백화점 본관 지하 1층,35.8779406718693,128.629190024219
대구 만촌 DT점,대구광역시 수성구 만촌동 435-3,35.8741881120313,128.647215143201
대구 방촌 DT점,대구광역시 동구 방촌동1084-201,35.8768238444583,128.662725634742
대구 수성못점,대구광역시 수성구 두산동 652-3,35.8272442555766,128.622393419615
고창 선운사점,전라북도 고창군 아산면 선운사로 232,35.4976573916488,126.581441186196
경산 임당역 DT점,경상북도 경산시 중방동 35-7 폴 바셋,35.8338396264394,128.740652243509
경산 옥곡 DT점,경상북도 경산시 옥곡동67-3,,
포항 영일대 DT점,포항시 경상북도 포항시 북구 삼호로 291,36.0635070496257,129.382008913484
경주 교동 DT점,경상북도 경주시 교촌길 12,35.8320121040621,129.213780938183
