지점명,주소,위도,경도
한국교원대점,충북 청주시 흥덕구 강내면 탑연리 339,36.6173717888594,127.355994102692
파주 교하점,"경기 파주시 파주로 266  (동패동, 아이비타워)  (동패동, 아이비타워) 102호",37.7261729297037,126.718241997855
부산 연산점,부산 연제구 반송로 89  (연산동) 1층 4호,35.191538058945,129.088297824307
진주평거점,경남 진주시 평거로 11  (평거동),35.1719961367269,128.062801124978
충남 당진점,"충남 당진시 대덕1로 125-26  (대덕동, 대광빌)",36.8850173933962,126.646742400835
남양주 마석점,"경기 남양주시 화도읍 경춘보학1길 8  (녹촌리, 남양주 라온프라이빗 5단지) (녹촌리, 남양주 라온프라이빗 5단지) 107호",37.6501562935199,127.296452371034
안성공도점,"경기 안성시 공도읍 공도4로 3  (만정리, 우성메디컬프라자)  (만정리, 우성메디컬프라자) M1층 113호, 114호",37.0004758153885,127.172121798803
동해 북삼점,강원 동해시 동회동 66-15,37.4886588397752,129.108426517647
녹번역점,서울 은평구 은평로 240  (응암동) 힐스테이트 녹번역 상가 304호,37.6004214734002,126.934948113512
호평점,"경기 남양주시 늘을2로 20  (호평동, CH리베로빌딩) (호평동, CH리베로빌딩) 115호",37.654488500865,127.244100117733
인천 미추홀점,인천 미추홀구 용현동 665-19,37.4473148688415,126.647513760434
인천 신현점,"인천 서구 가정로 375  (신현동, 금강아미움) 106호",37.5184745666802,126.672621688621
부평 중앙점,인천 부평구 경원대로 1420  (부평동),37.4909991954417,126.72668528183
김해삼계점,경남 김해시 해반천로130번길 31  (삼계동),35.260185277293,128.870589607071
거여역점,서울특별시 송파구 오금로 519  (거여동) 스위트빌딩 202호,37.4930969613738,127.14651816376
인천 부개역점,인천 부평구 부개동 301-10,37.4869785233969,126.739189379903
목포 산정점,전남 목포시 산정로 37  (산정동) 1층(산정동),34.792077213477,126.392738167713
민락에스클래스점,"경기 의정부시 오목로 196  (민락동, 민락2지구 제일풍경채 센텀-애비뉴모나코) 1층 55호",37.7440510248764,127.099113696287
포항 장성점,경북 포항시 북구 성실로 70  (장성동),36.0694458273643,129.373595643397
문정 래미안점,"서울 송파구 문정로 83  (문정동, 문정래미안아파트) 상가동 129호-1",37.4892043157404,127.130231968818
부평 산곡점,인천 부평구 산곡동 412-4,37.5044075225419,126.71425116248
대치점,서울 강남구 선릉로64길 28  (대치동),37.4982358118448,127.054563099417
라페스타점,"경기 고양시 일산동구 중앙로 1305-56  (장항동, 라페스타D)  D동 126호",37.6610286903147,126.76830760753
킨텍스원시티점,"경기 고양시 일산동구 태극로 8  (장항동, 킨텍스원시티 1블럭)",37.6639714328316,126.749893444303
파주 문산점,경기 파주시 문산읍 방촌로 1719-74  (당동리) 좋은빌딩 1층,37.8666610727526,126.783547821821
포천 송우점,경기 포천시 소흘읍 송우리 123,37.8281183146475,127.14779520663
신림역점,서울 관악구 신원로 39  (신림동) 1층,37.4824500497428,126.929406869357
학동역점,"서울 강남구 학동로 208  (논현동, 용문빌딩)",37.5140499644185,127.031988191374
야탑역점,"경기 성남시 분당구 야탑로65번길 8  (야탑동, 나인투빌딩) (야탑동, 나인투빌딩) 1층 103호",37.4105234033369,127.126354008002
강동역점,"서울 강동구 천호대로 1092  (성내동, 에스케이허브진) 110호",37.5352477607977,127.132663780085
창원상남점,"경남 창원시 성산구 마디미로56번길 7  (상남동, 레알주차장빌딩) (상남동, 레알주차장빌딩) 110호",35.2197778544787,128.681722304385
안산 월피점,경기 안산시 상록구 월피동 508-1,37.3353206420264,126.845296115441
부천 시청점,"경기 부천시 석천로169번길 22  (중동, 현대센트럴파크) (중동, 현대센트럴파크)",37.5029712432435,126.761610025282
제주 이도점,제주특별자치도 제주시 연신로 85  (이도이동),33.4942251741973,126.548966321893
개금점,부산 부산진구 가야대로 486  (개금동),35.1527882355747,129.025196780398
동탄 수변공원점,경기 화성시 동탄순환대로29길 56  (영천동)  코스모스스퀘어 1층 105호,37.2045347295096,127.108456318874
부산 덕천점,"부산 북구 금곡대로8번길 87  (덕천동, 덕천역 이즈 카운티) 이즈카운티 107호",35.2121249318227,129.009822897172
부천 옥길점,경기 부천시 양지로166번길 22  (옥길동),37.4689665656059,126.819287397463
검암 경서점,인천 서구 검암동 599-2   A동 1층,37.5653553308334,126.673585527444
구리 갈매점,"경기 구리시 경춘북로 252  (갈매동, 갈매역아이파크)  갈매역 아이파크 애비뉴상가 A동 125호",37.6338125904837,127.118322701737
