매장코드,매장명,주소,오픈날짜,위도,경도
1966,안동강변DT,경상북도 안동시 법흥동 45-7,2022-04-14,36.5622347706875,128.739794972097
2456,안동법원DT,"경상북도 안동시 정하동 312-2, 302-10",2025-09-26,36.5540046435136,128.734598735845
1982,안동옥동,경상북도 안동시 옥동 791-1,2022-05-26,36.5622841662631,128.701545246344
2059,영천완산DT,"경상북도 영천시 완산동 648-3,649,655-3,647-4,655-2,655-6",2022-12-08,35.9648566,128.939627
1575,포항죽도DT,경상북도 포항시 북구 죽도동 경상북도 포항시 북구 새천년대로 486 (죽도동),2019-11-29,36.0183753441918,129.347995587381
1187,포항장성DT,경상북도 포항시 북구 장성동 1577-8,2017-03-16,36.0744696651313,129.384291408266
918,포항양덕,경상북도 포항시 북구 양덕동 1487,2015-04-24,36.0815149624744,129.398174454933
756,포항중앙,경상북도 포항시 북구 신흥동 696-1 1~3층,2014-03-28,36.0400593752396,129.362506015186
360,포항영일대비치,경상북도 포항시 북구 항구동 17-97,2010-12-20,36.0550014123042,129.37680908294
2164,포항법원DT,경상북도 포항시 북구 장성동 1491-5,2023-08-24,36.0883487001634,129.384912858398
2244,포항화진해수욕장,"경상북도 포항시 북구 송라면 지경리 405, 405-3",2024-02-22,36.2288578954538,129.357010374998
2050,포항중앙로DT,경상북도 포항시 북구 죽도동 49-3,2022-11-17,36.0305999152027,129.3660937966
2297,포항초곡DT,"경상북도 포항시 북구 흥해읍 초곡리 9-10, 9-13, 성곡리 762-2",2024-08-08,36.107129772667,129.341721472306
2201,포항두호DT,"경상북도 포항시 북구 창포동 629-4, 629-14, 629-5",2023-11-09,36.0713047528211,129.358344366924
1127,전남광양DT,전라남도 광양시 중동 1321-4,2016-11-04,34.9432273372254,127.697769593458
1977,광양LF,"전라남도 광양시 광양읍 덕례리 1834 광양LF스퀘어, 1층",2022-05-12,34.96258270352,127.567498778469
2435,광양LF스퀘어3F,전라남도 광양시 광양읍 덕례리 1834 광양LF스퀘어 3층,2025-07-31,34.96258270352,127.567498778469
2079,광양마동DT,전라남도 광양시 마동 421-2,2023-01-18,34.9402743828158,127.705801667246
1518,목포터미널DT,전라남도 목포시 상동 135,2019-06-28,34.8099209829009,126.416884211484
